Id,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1972,IN,39,Kathgodam,,29.2667,79.5333,,
1973,IN,28,Panskura,,22.4167,87.7,,
1974,IN,25,Koradacheri,,10.7667,79.4833,,
1975,IN,25,Koimbatore,,10.9925,76.9614,,
1976,IN,12,Adipur,,34.2708,74.4889,,
1977,IN,34,Bihta,,25.55,84.8667,,
1978,IN,28,Kola,,22.45,87.8667,,
1979,IN,36,Dhanaura,,28.9667,78.25,,
1980,IN,25,Shencottah,,8.9667,77.2667,,
1981,IN,33,Raia,,15.3,73.9667,,
1982,IN,19,Anekal,,12.7,77.7,,
1983,IN,34,Patna City,,25.5833,85.25,,
1984,IN,23,Talwara,,31.9486,75.8667,,
1985,IN,37,Dhamtari,,20.7072,81.5497,,
1986,IN,25,Periyakulam,,10.1167,77.55,,
1987,IN,36,Atarra,,25.2833,80.5667,,
1988,IN,2,Jammalamadugu,,14.8333,78.4,,
1989,IN,33,Loutolim,,15.3333,73.9833,,
1990,IN,17,Churachandpur,,24.3333,93.6667,,
1991,IN,28,Chandpara,,22.9667,88.7833,,
1992,IN,1,Calicut,,11.6,92.7333,,
1993,IN,35,Maharajpur,,22.6,80.3667,,
1994,IN,19,Mallesvaram,,12.9833,77.5667,,
1995,IN,16,Kalba Devi,,18.9333,72.8167,,
1996,IN,16,Ambajogai,,18.7333,76.3833,,
1997,IN,24,Nasirabad,,26.3,74.7333,,
1998,IN,7,Delhi Cantonment,,28.6,77.1333,,
1999,IN,7,Roshanpura,,28.6008,76.9889,,
2000,IN,16,Bombay Byculla,,18.9667,72.8333,,
2001,IN,16,Bombay Girgaon,,18.95,72.8167,,
2002,IN,16,Ballard Estate,,18.9333,72.8333,,
2003,IN,24,Parvatsar,,26.8833,74.7667,,
2004,IN,25,Adyar,,13.0044,80.2583,,
2005,IN,9,Khambhaliya,,22.2072,69.6683,,
2006,IN,36,Utraula,,27.3167,82.4167,,
2007,IN,16,Mahad,,18.0833,73.4167,,
2008,IN,21,Bolani,,22.1,85.3167,,
2009,IN,16,Ghansoli,,19.1167,72.9833,,
2010,IN,16,Indapur,,18.3,73.25,,
2011,IN,36,Rae Bareli,,26.2167,81.2333,,
2012,IN,2,Vijayawada Buckinghampet,,16.5,80.6333,,
2013,IN,10,Nagina,,27.9167,76.9833,,
2014,IN,19,Tavarekeri,,12.9167,77.6167,,
2015,IN,25,Vriddhachalam,,11.5,79.3333,,
2016,IN,10,Sohna,,28.25,77.0667,,
2017,IN,16,Hinganghat,,20.5667,78.8333,,
2018,IN,16,Shahada,,21.4667,74.3,,
2019,IN,25,Ambasamudram,,8.7,77.4667,,
2020,IN,33,Assonora,,15.6,73.8833,,
